ID_TRIAL;ID_MOVEMENT;ID_STATION;TIME_STAMP;POS_X;POS_Y;POS_Z;ROT_QUA_X;ROT_QUA_Y;ROT_QUA_Z;ROT_QUA_W;EULER_AX;EULER_AY;EULER_AZ;CURR_STAGE
200118185740;;0;18:57:54 18/01/20;-1,007258;1,786229;-3,333603;-0,1497373;-0,7367826;-0,1242667;0,6475245;337,85;261,8977;3,696667;TUTORIAL
200118185740;;0;18:57:55 18/01/20;-1,00754;1,786318;-3,333298;-0,1505505;-0,7365162;-0,1245794;0,6475788;337,7594;261,9109;3,742463;TUTORIAL
200118185740;;0;18:57:55 18/01/20;-1,00658;1,786706;-3,333256;-0,1504493;-0,7354168;-0,1244317;0,648879;337,7737;262,1179;3,704109;TUTORIAL
200118185740;;0;18:57:55 18/01/20;-1,006088;1,7869;-3,333825;-0,1513603;-0,7362232;-0,12496;0,64765;337,663;261,9288;3,781886;TUTORIAL
200118185740;;0;18:57:55 18/01/20;-1,006185;1,786745;-3,33407;-0,1512016;-0,7355842;-0,124354;0,6485291;337,7243;262,0559;3,788872;TUTORIAL
200118185740;;0;18:57:55 18/01/20;-1,006572;1,786457;-3,334375;-0,1514126;-0,736096;-0,1239989;0,6479671;337,7424;261,9548;3,854484;TUTORIAL
200118185740;;0;18:57:56 18/01/20;-1,005947;1,786695;-3,33509;-0,1514884;-0,7360693;-0,1237859;0,6480204;337,7552;261,9576;3,876869;TUTORIAL
200118185740;;0;18:57:56 18/01/20;-1,005833;1,786912;-3,335177;-0,1511605;-0,7356307;-0,1236508;0,6486204;337,7892;262,0526;3,839409;TUTORIAL
200118185740;;0;18:57:56 18/01/20;-1,005571;1,7867;-3,335068;-0,1516526;-0,735862;-0,1240906;0,648159;337,7148;261,9872;3,862442;TUTORIAL
200118185740;;0;18:57:56 18/01/20;-1,005547;1,786843;-3,335002;-0,151973;-0,735515;-0,1241317;0,64847;337,6848;262,0372;3,87789;TUTORIAL
200118185740;;0;18:57:56 18/01/20;-1,005529;1,786739;-3,335219;-0,1518639;-0,7357557;-0,123521;0,648339;337,748;262,0006;3,921873;TUTORIAL
200118185740;;0;18:57:57 18/01/20;-1,005389;1,786978;-3,335325;-0,1525058;-0,7357092;-0,1238052;0,648187;337,6741;261,9805;3,961173;TUTORIAL
200118185740;;0;18:57:57 18/01/20;-1,005087;1,787167;-3,335146;-0,1525512;-0,7352977;-0,1243948;0,6485302;337,6166;262,0512;3,906379;TUTORIAL
200118185740;;0;18:57:57 18/01/20;-1,004537;1,787259;-3,335224;-0,153033;-0,7349945;-0,124828;0,6486771;337,5403;262,0842;3,9096;TUTORIAL
200118185740;;0;18:57:57 18/01/20;-1,004352;1,787334;-3,335758;-0,1531245;-0,7357301;-0,1244092;0,6479016;337,5745;261,9472;3,976734;TUTORIAL
200118185740;;0;18:57:57 18/01/20;-1,004638;1,787267;-3,335816;-0,1529295;-0,7355126;-0,1245183;0,6481737;337,5784;261,995;3,941662;TUTORIAL
200118185740;;0;18:57:58 18/01/20;-1,004533;1,787223;-3,336421;-0,1530962;-0,7358148;-0,1235267;0,647981;337,6544;261,9373;4,043263;TUTORIAL
200118185740;;0;18:57:58 18/01/20;-1,006795;1,786379;-3,337024;-0,1526366;-0,7352294;-0,1225695;0,648935;337,7693;262,0692;4,049337;TUTORIAL
200118185740;;0;18:57:58 18/01/20;-1,027382;1,784065;-3,339317;-0,1490163;-0,7276354;-0,1170463;0,6592731;338,4804;263,6236;3,853952;TUTORIAL
200118185740;;0;18:57:58 18/01/20;-1,077814;1,803662;-3,335733;-0,1295774;-0,7138451;-0,1097319;0,6794069;340,5652;266,7946;2,181184;TUTORIAL
200118185740;;0;18:57:58 18/01/20;-1,123662;1,854429;-3,314889;-0,09031834;-0,7123757;-0,0981039;0,6890132;344,6785;268,1418;359,6133;TUTORIAL
200118185740;;0;18:57:59 18/01/20;-1,148473;1,910519;-3,285387;-0,06425286;-0,7163603;-0,09808861;0,6878067;346,7665;267,963;357,4756;TUTORIAL
200118185740;;0;18:57:59 18/01/20;-1,15882;1,987697;-3,252127;-0,04971345;-0,7386975;-0,1000225;0,6647181;347,6511;264,3431;356,5064;TUTORIAL
200118185740;;0;18:57:59 18/01/20;-1,150579;2,061686;-3,257926;-0,04666343;-0,7745885;-0,06365488;0,6275216;350,9569;258,0592;359,5591;TUTORIAL
200118185740;;0;18:57:59 18/01/20;-1,101641;2,0809;-3,32427;-0,03565955;-0,8028764;-0,003570463;0,5950673;357,2388;253,0161;3,042272;TUTORIAL
200118185740;;0;18:57:59 18/01/20;-1,021005;2,075082;-3,445236;-0,09503207;-0,8114929;0,01906957;0,5762678;355,4932;250,3579;10,18113;TUTORIAL
